rank,asin,title,rating,ratings_count,price_amount,price_currency,price_raw,offers_text,url
1,B001O8MI2K,Boss Bottled Eau de Toilette für Männer,4.7,36666,91806.0,KRW,"KRW 91,806",,https://www.amazon.com/-/en/Hugo-Boss-Homme-Toilette-Spray/dp/B001O8MI2K/ref=zg_bs_g_122877031_d_sccl_1/705-2347813-6172651
2,B00S2WDIGG,"Calvin Klein ck one Eau de Toilette, aromatisch-zitrischer Unisex-Duft für Frauen und Männer",4.6,38113,41221.0,KRW,"KRW 41,221",,https://www.amazon.com/-/en/Calvin-Klein-one-Eau-Toilette/dp/B00S2WDIGG/ref=zg_bs_g_122877031_d_sccl_2/705-2347813-6172651
3,B08GBLSDCZ,"Nivea Eau de Toilette (30 ml) with the Unparalleled Fragrance of Nivea Cream in an Elegant Perfume Bottle and Nivea Gift Box,",4.6,8789,44359.0,KRW,"KRW 44,359",,https://www.amazon.com/-/en/Toilette-Unparalleled-Fragrance-Complements-Products/dp/B08GBLSDCZ/ref=zg_bs_g_122877031_d_sccl_3/705-2347813-6172651
4,B000RPDBJU,Joop! Le Bain Eau de Parfum,4.6,12101,27411.0,KRW,"KRW 27,411",,https://www.amazon.com/-/en/Joop-Bain-Eau-Parfum-Women/dp/B000RPDBJU/ref=zg_bs_g_122877031_d_sccl_4/705-2347813-6172651
5,B005MQNX2Y,JOOP! HOMME Eau de Toilette,4.6,59619,92097.0,KRW,"KRW 92,097",,https://www.amazon.com/-/en/Joop-Eau-Toilette-Natural-Spray/dp/B005MQNX2Y/ref=zg_bs_g_122877031_d_sccl_5/705-2347813-6172651
6,B0B92Y18GT,"Lattafa Khamrah Eau De Parfum 100 ml | Oriental, gourmand, spicy, sweet, warm",4.5,37859,58218.0,KRW,"KRW 58,218",,https://www.amazon.com/-/en/Lattafa-Khamrah-Eau-Parfum-100/dp/B0B92Y18GT/ref=zg_bs_g_122877031_d_sccl_6/705-2347813-6172651
7,B09SHYR3HN,Bruno Banani Fragrance Man Eau de Toilette Natural Spray Herb Aromatic Mens Perfume Bottle with Atomiser 100ml,4.7,2648,17384.0,KRW,"KRW 17,384",,https://www.amazon.com/-/en/Bruno-Banani-Fragrance-Toilette-Aromatic/dp/B09SHYR3HN/ref=zg_bs_g_122877031_d_sccl_7/705-2347813-6172651
8,B0G1BPC8D5,"NIVEA MEN Sensitive After Shave Fluid, Face Care After Shaving for Sensitive Men's Skin, Soothing Skin Care to Relieve Skin I",4.7,70,8037.0,KRW,"KRW 8,037",,https://www.amazon.com/-/en/NIVEA-MEN-Sensitive-Soothing-Irritation/dp/B0G1BPC8D5/ref=zg_bs_g_122877031_d_sccl_8/705-2347813-6172651
9,B0009OAI40,"Elizabeth Arden Green Tea Eau de Parfum for Women 100 ml | Invigorating fragrance with green tea and bergamot, refreshes the",4.6,13640,19244.0,KRW,"KRW 19,244",,https://www.amazon.com/-/en/Elizabeth-Arden-Green-Parfum-Women/dp/B0009OAI40/ref=zg_bs_g_122877031_d_sccl_9/705-2347813-6172651
10,B00AQYSLHY,Tattoo Toomed Tattoo Aftercare 100ml,4.7,7283,17239.0,KRW,"KRW 17,239",,https://www.amazon.com/-/en/Tattoo-Toomed-Aftercare-100ml/dp/B00AQYSLHY/ref=zg_bs_g_122877031_d_sccl_10/705-2347813-6172651
11,B0DYK9JF9J,"Lancôme La Vie Est Belle, Eau de Parfum",4.5,202,,,,,https://www.amazon.com/-/en/Lanc%C3%B4me-Advanced-G%C3%A9nifique-Anti-Ageing-Fragrance/dp/B0DYK9JF9J/ref=zg_bs_g_122877031_d_sccl_11/705-2347813-6172651
12,B0FR46YJJM,Spray Bottle 4 x 20 ml Small Spray Bottle Transparent Atomiser Bottles Portable Travel Bottles Set Empty Small Cosmetics Spra,4.4,141,5401.0,KRW,"KRW 5,401",,https://www.amazon.com/-/en/Transparent-Atomiser-Portable-Cosmetics-Perfumes/dp/B0FR46YJJM/ref=zg_bs_g_122877031_d_sccl_12/705-2347813-6172651
13,B088WCR8M3,"Azzaro Sport Eau de Toilette for Men, Fresh and Dynamic Men's Fragrance, Citrus Aromatic Perfume for Daily Energy Kick, 100 m",4.4,4098,31664.0,KRW,"KRW 31,664",,https://www.amazon.com/-/en/Azzaro-Toilette-Dynamic-Fragrance-Aromatic/dp/B088WCR8M3/ref=zg_bs_g_122877031_d_sccl_13/705-2347813-6172651
14,B09MFJL9KL,Pack of 4 5 ml Perfume Atomisers Refillable Empty Travel Perfume Atomiser | Mini Portable Spray Bottle with Window for Handba,4.3,998,8959.0,KRW,"KRW 8,959",,https://www.amazon.com/-/en/Perfume-Atomisers-Refillable-Travel-Atomiser/dp/B09MFJL9KL/ref=zg_bs_g_122877031_d_sccl_14/705-2347813-6172651
15,B00M3IFUMK,"Armaf Club De Nuit Intense For Men Eau de Toilette, 105ml Black",4.3,75432,77624.0,KRW,"KRW 77,624",,https://www.amazon.com/-/en/Armaf-Intense-Toilette-105ml-Black/dp/B00M3IFUMK/ref=zg_bs_g_122877031_d_sccl_15/705-2347813-6172651
16,B08ZXY1B7H,"MUGLER Alien Eau de Parfum für Damen, Holzig-blumiges Parfum duftet nach Amber, Außergewöhnliches Duftspray, Nachfüllbar",4.6,10942,76993.0,KRW,"KRW 76,993",,https://www.amazon.com/-/en/MUGLER-Alien-Parfum-Extraordinary-Fragrance/dp/B08ZXY1B7H/ref=zg_bs_g_122877031_d_sccl_16/705-2347813-6172651
17,B084MF2MCS,Boss Alive Eau de Parfum für Frauen,4.7,3147,63829.0,KRW,"KRW 63,829",,https://www.amazon.com/-/en/BOSS-Fragrance-Vanilla-Sandalwood-Independent/dp/B084MF2MCS/ref=zg_bs_g_122877031_d_sccl_17/705-2347813-6172651
18,B00H8W7N80,Hugo Man Eau de Toilette for Men,4.6,24273,50051.0,KRW,"KRW 50,051",,https://www.amazon.com/-/en/Hugo-Boss-toilette-vaporiser-spray/dp/B00H8W7N80/ref=zg_bs_g_122877031_d_sccl_18/705-2347813-6172651
19,B01F2LBUTQ,Jil Sander Sun Men Eau de Toilette Spray 75 ml,4.7,498,79079.0,KRW,"KRW 79,079",,https://www.amazon.com/-/en/Jil-Sander-Sun-Toilette-Spray/dp/B01F2LBUTQ/ref=zg_bs_g_122877031_d_sccl_19/705-2347813-6172651
20,B002BLW0D6,Diesel Only the Brave Parfüm für Herren | Eau de Toilette Spray | Langanhaltend | Sportlich-markanter Männer Duft,4.6,15863,48499.0,KRW,"KRW 48,499",,https://www.amazon.com/-/en/Diesel-Brave-Toilette-Sporty-Striking/dp/B002BLW0D6/ref=zg_bs_g_122877031_d_sccl_20/705-2347813-6172651
21,B0FRF637DS,"Davidoff Cool Water Eau de Toilette - Fougere Fragrance for Men - With Coriander, Lavender and Amber - Long Lasting Fragrance",4.5,42,99536.0,KRW,"KRW 99,536",,https://www.amazon.com/-/en/Davidoff-Cool-Water-Eau-Toilette/dp/B0FRF637DS/ref=zg_bs_g_122877031_d_sccl_21/705-2347813-6172651
22,B0746B4718,"Refillable Perfume Atomiser Aluminium 8 ml Rotatable with Hidden Top, Empty Glass Pocket Travel Atomiser for Perfume and Afte",4.4,5446,10851.0,KRW,"KRW 10,851",,https://www.amazon.com/-/en/Refillable-Atomiser-Aluminium-Rotatable-Aftershave/dp/B0746B4718/ref=zg_bs_g_122877031_d_sccl_22/705-2347813-6172651
23,B07WCVW56S,"Lancome Idole Eau de Parfum Spray 50 ml | Mit Jasmin und Chypre-Akkord, nachhaltig hergestellt, nachfüllbarer Flakon, für bew",4.8,7551,,,,,https://www.amazon.com/-/en/Lancome-Idole-Parfum-25-Spray/dp/B07WCVW56S/ref=zg_bs_g_122877031_d_sccl_23/705-2347813-6172651
24,B09C8VNWBP,Lattafa Yara 100 ml EDP Women's Perfume,4.4,46572,46736.0,KRW,"KRW 46,736",,https://www.amazon.com/-/en/Lattafa-Yara-100-Womens-Perfume/dp/B09C8VNWBP/ref=zg_bs_g_122877031_d_sccl_24/705-2347813-6172651
25,B0DGLVFL8Q,"Bugatti Perfume 100 ml I Citrus Aromatic Eau de Toilette I Men's Fragrance with Invigorating Combination of Lavender, Lemon &",4.5,544,25794.0,KRW,"KRW 25,794",,https://www.amazon.com/-/en/Aromatic-Toilette-Fragrance-Invigorating-Combination/dp/B0DGLVFL8Q/ref=zg_bs_g_122877031_d_sccl_25/705-2347813-6172651
26,B000E7YJVU,Cerruti 1881 Femme EDT,4.7,20717,37502.0,KRW,"KRW 37,502",,https://www.amazon.com/-/en/Cerruti-1881-Toilette-Fragrance-Specialist/dp/B000E7YJVU/ref=zg_bs_g_122877031_d_sccl_26/705-2347813-6172651
27,B000P255VM,Joop! Jump Eau de Toilette,4.6,24695,29093.0,KRW,"KRW 29,093",,https://www.amazon.com/-/en/Joop-Jump-Eau-Toilette-Men/dp/B000P255VM/ref=zg_bs_g_122877031_d_sccl_27/705-2347813-6172651
28,B0FQJN4S4Z,NIVEA MEN SENSITIVE COOL AFTER SHAVE BALM,4.7,113,8070.0,KRW,"KRW 8,070",,https://www.amazon.com/-/en/NIVEA-MEN-SENSITIVE-AFTER-SHAVE/dp/B0FQJN4S4Z/ref=zg_bs_g_122877031_d_sccl_28/705-2347813-6172651
29,B07V9N1133,HAWAIIAN Tropic Tropic Aloha Coco Fragrance Spray 250ml,4.4,1397,12921.0,KRW,"KRW 12,921",,https://www.amazon.com/-/en/HAWAIIAN-Tropic-Aloha-Fragrance-Spray/dp/B07V9N1133/ref=zg_bs_g_122877031_d_sccl_29/705-2347813-6172651
30,B0D8L92LQW,"French Avenue Liquid Brun By Fragrance World Unisex Eau de Parfum, 3.4 fl oz, 100 ml",4.4,4472,55970.0,KRW,"KRW 55,970",,https://www.amazon.com/-/en/French-Avenue-Liquid-Fragrance-Unisex/dp/B0D8L92LQW/ref=zg_bs_g_122877031_d_sccl_30/705-2347813-6172651
51,B07R2QDXLL,Störtebekker® Premium Alum Stone - Natural Aftershave - Alum Blood Stiller - Soothes the Skin After Shaving with Safety Razor,4.7,2829,15104.0,KRW,"KRW 15,104",,https://www.amazon.com/-/en/St%C3%B6rtebekker%C2%AE-Premium-Alum-Stone-Aftershave/dp/B07R2QDXLL/ref=zg_bs_g_122877031_d_sccl_1/705-2347813-6172651
52,B0DDHQ2GNL,"KORRES AVGOUSTOS Eau de Toilette for Men and Women in Practical Deluxe Travel Size, Unisex Fragrance, Fruity Citrus Summer Fr",4.3,167,16058.0,KRW,"KRW 16,058",,https://www.amazon.com/-/en/KORRES-AVGOUSTOS-Toilette-Practical-Fragrance/dp/B0DDHQ2GNL/ref=zg_bs_g_122877031_d_sccl_2/705-2347813-6172651
53,B09YQGZQGR,Marmara Kolonya Lemon 400 ml with Box | Turkish Scented Water | Aftershave | Turkish Hand Water | Shaving Water | Cologne Wat,4.5,425,16010.0,KRW,"KRW 16,010",,https://www.amazon.com/-/en/Marmara-Kolonya-Box-Aftershave-Traditional/dp/B09YQGZQGR/ref=zg_bs_g_122877031_d_sccl_3/705-2347813-6172651
54,B0G1G1NLX6,"FitDA Pack of 5 Refillable Perfume Atomisers, 5 ml Mini Portable Perfume Atomiser for On the Go with Viewing Window, Lightwei",3.6,139,5417.0,KRW,"KRW 5,417",,https://www.amazon.com/-/en/FitDA-Perfume-Atomiser-Bottle-Mini/dp/B0G1G1NLX6/ref=zg_bs_g_122877031_d_sccl_4/705-2347813-6172651
