rank,asin,title,rating,ratings_count,price_amount,price_currency,price_raw,offers_text,url
1,B0B2RM68G2,"BIODANCE Bio-Collagen Real Deep Mask - Hydrating Night Mask, Minimizes Pores and Improves Elasticity - Deep Hydration Facial",4.5,43703,12.55,USD,USD 12.55,,https://www.amazon.com/-/en/BIODANCE-Bio-Collagen-Real-Deep-Mask/dp/B0B2RM68G2/ref=zg_bs_g_beauty_d_sccl_1/258-4447316-8486506
2,B09SZ5JX2Y,"d'alba Piedmont White Truffle Double Serum All-in-one Multi Balm | Vegan Skin Care, 3 in 1 Treatment, Wrinkle Balm, Korean Sk",4.4,8786,19.13,USD,USD 19.13,,https://www.amazon.com/-/en/dalba-Piedmont-White-Truffle-Double/dp/B09SZ5JX2Y/ref=zg_bs_g_beauty_d_sccl_2/258-4447316-8486506
3,B0GD6R7CFJ,"BIODANCE Collagen Peptide Eye Patches, Anti-Wrinkle for Expression Lines and Bags, Eye Contour, Korean Skin Care (60 Pcs)",4.5,3731,18.97,USD,USD 18.97,,https://www.amazon.com/-/en/BIODANCE-Collagen-Peptide-Anti-Wrinkle-Expression/dp/B0GD6R7CFJ/ref=zg_bs_g_beauty_d_sccl_3/258-4447316-8486506
4,B0DBF65JYY,"medicube PDRN Pink Peptide Serum with Salmon DNA | Niacinamide Peptide Serum for Hydration and Firmer Looking Skin, Improves",4.7,21371,22.56,USD,USD 22.56,,https://www.amazon.com/-/en/medicube-PDRN-Peptide-Serum-Salmon/dp/B0DBF65JYY/ref=zg_bs_g_beauty_d_sccl_4/258-4447316-8486506
5,B0DK4Y2YP3,"celimax The Vita A Retinal Shot Tightening Booster, 15ml | 0.1% Retinal, 3% Matryxyl, High Potency Retinoid, Anti-Aging, Pore",4.4,22706,17.98,USD,USD 17.98,,https://www.amazon.com/-/en/celimax-Vita-Retinal-Tightening-Booster/dp/B0DK4Y2YP3/ref=zg_bs_g_beauty_d_sccl_5/258-4447316-8486506
6,B0BFQ9RD5B,"d'alba Piedmont Italian White Truffle First Spray Serum (100 ml) | Vegan Skincare, Moisturizing Face Mist, Multifunctional Sp",4.5,34063,16.24,USD,USD 16.24,,https://www.amazon.com/-/en/dalba-Piedmont-Italian-White-Truffle/dp/B0BFQ9RD5B/ref=zg_bs_g_beauty_d_sccl_6/258-4447316-8486506
7,B00M9B66BU,"REVLON PROFESSIONAL UniqOne All in One Thermal Hair Protector, Deep Hydration Hair, Spray Treatment Without Rinse, Detangler",4.5,102752,27.2,USD,USD 27.20,,https://www.amazon.com/-/en/REVLON-PROFESSIONAL-Protector-Hydration-Treatment/dp/B00M9B66BU/ref=zg_bs_g_beauty_d_sccl_7/258-4447316-8486506
8,B08P4YPB8Q,"Maybelline New York Lash Sensational Sky High Volume and Length, Black | Flexible Brush, Limit Length, Redefined Volume, Defi",4.2,36527,6.55,USD,USD 6.55,,https://www.amazon.com/-/en/Maybelline-York-Sensational-Length-Black/dp/B08P4YPB8Q/ref=zg_bs_g_beauty_d_sccl_8/258-4447316-8486506
9,B09D7QJP1M,"d'alba Waterfull SPF50+PA++++ Italian White Truffle, Tinted Sun Cream with | with UV Filters, Vegan, Illuminating Sunscreen,",4.4,7737,21.03,USD,USD 21.03,,https://www.amazon.com/-/en/dalba-Waterfull-Italian-Truffle-Tinted/dp/B09D7QJP1M/ref=zg_bs_g_beauty_d_sccl_9/258-4447316-8486506
10,B09V7Z4TJG,"medicube Toner Pads Zero Pore Pad 2.0 | Dual Texture Toning Pads for Exfoliation and Pores with AHA and BHA, All Skin Types,",4.7,30417,17.2,USD,USD 17.20,,https://www.amazon.com/-/en/medicube-Toner-Pads-Zero-Pore/dp/B09V7Z4TJG/ref=zg_bs_g_beauty_d_sccl_10/258-4447316-8486506
