rank,asin,title,rating,ratings_count,price_amount,price_currency,price_raw,offers_text,url
1,B0B2RM68G2,"BIODANCE Bio-Collagen Real Deep, Hydrogel Collagen Face Mask, Hydrating Night Mask, Pore and Elasticity Care, K-Beauty Korean",4.3,43428,14689.0,KRW,"KRW 14,689",,https://www.amazon.com/-/en/BIODANCE-Bio-Collagen-Hydrogel-Hydrating-Elasticity/dp/B0B2RM68G2/ref=zg_bs_g_beauty_d_sccl_1/523-9534943-9827607
2,B09V7Z4TJG,"medicube Zero Pore Pad 2.0 Pore Care Exfoliating Pads | Pad double texture AHA 4.5% & BHA 0.45%, Lactic and salicylic acids,",4.6,29966,30131.0,KRW,"KRW 30,131",,https://www.amazon.com/-/en/medicube-Zero-Pore-Care-Exfoliating/dp/B09V7Z4TJG/ref=zg_bs_g_beauty_d_sccl_2/523-9534943-9827607
3,B08P4YPB8Q,"Maybelline New York Sky High Volume Intense Very Black Mascara 5ml | Bamboo extracts and fibres, Flexible brush captures ever",4.3,36241,10070.0,KRW,"KRW 10,070",,https://www.amazon.com/-/en/Maybelline-York-Intense-Black-Mascara/dp/B08P4YPB8Q/ref=zg_bs_g_beauty_d_sccl_3/523-9534943-9827607
4,B00GSUCEJ6,"Essence I Love Extreme Volume Crazy Mascara | Extreme Volume, Curling, Lengthening, Long-lasting, Mascara",4.4,38340,3608.0,KRW,"KRW 3,608",,https://www.amazon.com/-/en/Essence-Love-Extreme-Crazy-Mascara/dp/B00GSUCEJ6/ref=zg_bs_g_beauty_d_sccl_4/523-9534943-9827607
5,B0B7RQ46LD,"CeraVe - Gel Moussant Anti-Imperfections - Purifie la Peau en douceur et Réduit les Imperfections - Acide Salicylique, Argile",4.6,35529,12973.0,KRW,"KRW 12,973",,https://www.amazon.com/-/en/CeraVe-Anti-Blemish-Foaming-Salicylic-Acid/dp/B0B7RQ46LD/ref=zg_bs_g_beauty_d_sccl_5/523-9534943-9827607
6,B00AI7COA4,"REXONA Maximum Protection Women's Deodorant Stick Clean Scent 45 ml | Anti-perspirant, 96 hours of effectiveness anti-perspir",4.6,23137,4747.0,KRW,"KRW 4,747",,https://www.amazon.com/-/en/REXONA-Maximum-Protection-Womens-Deodorant/dp/B00AI7COA4/ref=zg_bs_g_beauty_d_sccl_6/523-9534943-9827607
7,B071914GGL,The Ordinary Tonique Exfoliant à l'Acide Glycolique 7%,4.6,60106,21953.0,KRW,"KRW 21,953",,https://www.amazon.com/-/en/Ordinary-Exfoliating-Brightening-Smoothing-Complexion/dp/B071914GGL/ref=zg_bs_g_beauty_d_sccl_7/523-9534943-9827607
8,B0FPCC599C,"medicube Body Peel Shot with Hypochlorous Acid | Soft Body Scrub for Dead Cells & Irregular Texture, with Rice Extract & Pant",4.3,1815,44740.0,KRW,"KRW 44,740",,https://www.amazon.com/-/en/medicube-Body-Peel-Shot-Hypochlorous/dp/B0FPCC599C/ref=zg_bs_g_beauty_d_sccl_8/523-9534943-9827607
9,B0DK4Y2YP3,"celimax The Vita A Retinal Shot Tightening Booster | 0.1% Retinal, 3% Matryxyl, High Power Retinoid, Anti-Aging, Pore Tighten",4.2,22094,22049.0,KRW,"KRW 22,049",,https://www.amazon.com/-/en/celimax-Vita-Retinal-Tightening-Booster/dp/B0DK4Y2YP3/ref=zg_bs_g_beauty_d_sccl_9/523-9534943-9827607
10,B00M9B66BU,Revlon Professional UniqOne Masque Spray 10 En 1 Sans Rinçage | Soin sans rinçage aux dix bienfaits qui protège de la chaleur,4.6,102393,28303.0,KRW,"KRW 28,303",,https://www.amazon.com/-/en/Revlon-Professional-UniqOne-10-150ml-No-Rinse/dp/B00M9B66BU/ref=zg_bs_g_beauty_d_sccl_10/523-9534943-9827607
11,B07RB9GXGR,"BIONOBLE Organic Jojoba Oil - Hair, Face, Body, Beard - 50 ml | Cold Pressed, 100% Pure - Balances Sebum, Softens, Anti-Acne",4.4,63677,12460.0,KRW,"KRW 12,460",,https://www.amazon.com/-/en/BIONOBLE-Organic-Jojoba-Oil-Beard/dp/B07RB9GXGR/ref=zg_bs_g_beauty_d_sccl_11/523-9534943-9827607
